mainurl,score,title
https://movie.douban.com/subject/1307394/?from=tag_all,8.6,千年女优 千年女優
https://movie.douban.com/subject/4925398/?from=tag_all,9.2,命运石之门 STEINS;GATE
https://movie.douban.com/subject/1998799/?from=tag_all,9.6,灌篮高手 スラムダンク
https://movie.douban.com/subject/26279124/?from=tag_all,6.5,新哥斯拉 シン・ゴジラ
https://movie.douban.com/subject/1291588/?from=tag_all,8.5,岁月的童话 おもひでぽろぽろ
https://movie.douban.com/subject/25940269/?from=tag_all,9.0,对不起青春 ごめんね青春！
https://movie.douban.com/subject/1436674/?from=tag_all,9.1,悠长假期 ロングバケーション
https://movie.douban.com/subject/1959877/?from=tag_all,8.3,悬崖上的金鱼姬 崖の上のポニョ
https://movie.douban.com/subject/1294009/?from=tag_all,8.4,蒲公英 タンポポ
https://movie.douban.com/subject/23761370/?from=tag_all,8.3,速度与激情7 Furious 7
https://movie.douban.com/subject/20470074/?from=tag_all,8.2,言叶之庭 言の葉の庭
https://movie.douban.com/subject/3060542/?from=tag_all,9.3,夏目友人帐 夏目友人帳
https://movie.douban.com/subject/4303624/?from=tag_all,9.3,母亲 Mother
https://movie.douban.com/subject/10571509/?from=tag_all,8.4,如父如子 そして父になる
https://movie.douban.com/subject/1457573/?from=tag_all,9.3,新世纪福音战士 新世紀エヴァンゲリオン
https://movie.douban.com/subject/1800597/?from=tag_all,9.4,虫师 蟲師
https://movie.douban.com/subject/3660428/?from=tag_all,8.5,金色梦乡 ゴールデンスランバー
https://movie.douban.com/subject/4832288/?from=tag_all,8.7,奇迹 奇跡
https://movie.douban.com/subject/11611021/?from=tag_all,7.6,在这世界的角落 この世界の片隅に
https://movie.douban.com/subject/26339248/?from=tag_all,9.3,一拳超人 ワンパンマン
https://movie.douban.com/subject/1460915/?from=tag_all,9.3,混沌武士 サムライチャンプルー
https://movie.douban.com/subject/7065168/?from=tag_all,8.8,孤独的美食家 第一季 孤独のグルメ Season1
https://movie.douban.com/subject/1453238/?from=tag_all,9.5,海贼王 ワンピース
https://movie.douban.com/subject/4848115/?from=tag_all,8.8,你看起来好像很好吃 おまえうまそうだな
https://movie.douban.com/subject/1308820/?from=tag_all,8.1,花与爱丽丝 花とアリス
https://movie.douban.com/subject/1292371/?from=tag_all,8.1,四月物语 四月物語
https://movie.douban.com/subject/24321344/?from=tag_all,8.6,面包和汤和猫咪好天气 パンとスープとネコ日和
https://movie.douban.com/subject/26362351/?from=tag_all,8.2,濑户内海 セトウツミ
https://movie.douban.com/subject/25850705/?from=tag_all,9.2,月刊少女野崎君 月刊少女野崎くん
https://movie.douban.com/subject/2340927/?from=tag_all,9.3,怪化猫 モノノ怪
https://movie.douban.com/subject/2018131/?from=tag_all,8.7,求婚大作战 プロポーズ大作戦
https://movie.douban.com/subject/26611076/?from=tag_all,7.2,溺水小刀 溺れるナイフ
https://movie.douban.com/subject/11500954/?from=tag_all,8.5,编舟记 舟を編む
https://movie.douban.com/subject/26817016/?from=tag_all,5.5,东京食尸鬼 真人版 東京喰種トーキョーグール
https://movie.douban.com/subject/10756863/?from=tag_all,8.2,有钱男与贫穷女 リッチマン、プアウーマン
https://movie.douban.com/subject/2057171/?from=tag_all,9.6,银魂 銀魂
https://movie.douban.com/subject/1997685/?from=tag_all,9.1,交响情人梦 のだめカンタービレ
https://movie.douban.com/subject/1302770/?from=tag_all,8.4,阿基拉 Akira
https://movie.douban.com/subject/26266666/?from=tag_all,8.8,问题餐厅 問題のあるレストラン
https://movie.douban.com/subject/6880497/?from=tag_all,8.4,盗钥匙的方法 鍵泥棒のメソッド
https://movie.douban.com/subject/26277363/?from=tag_all,9.4,昭和元禄落语心中 昭和元禄落語心中
https://movie.douban.com/subject/1309059/?from=tag_all,7.1,艺伎回忆录 Memoirs of a Geisha
https://movie.douban.com/subject/1417728/?from=tag_all,8.7,我的邻居山田君 ホーホケキョとなりの山田くん
https://movie.douban.com/subject/2281691/?from=tag_all,9.1,世界奇妙物语 世にも奇妙な物語
https://movie.douban.com/subject/25761178/?from=tag_all,8.3,百元之恋 百円の恋
https://movie.douban.com/subject/10535571/?from=tag_all,5.6,外来者 The Outsider
https://movie.douban.com/subject/3430169/?from=tag_all,9.5,钢之炼金术师FA 鋼の錬金術師 FULLMETAL ALCHEMIST
https://movie.douban.com/subject/26266892/?from=tag_all,9.0,红鳉鱼 赤めだか
https://movie.douban.com/subject/2369845/?from=tag_all,8.3,嫌疑人X的献身 容疑者Xの献身
https://movie.douban.com/subject/3560787/?from=tag_all,9.3,回忆积木小屋 つみきのいえ
https://movie.douban.com/subject/26724684/?from=tag_all,8.7,宽松世代又如何 ゆとりですがなにか
https://movie.douban.com/subject/1291835/?from=tag_all,7.7,迷失东京 Lost in Translation
https://movie.douban.com/subject/1302642/?from=tag_all,8.5,花火 HANA-BI
https://movie.douban.com/subject/6989744/?from=tag_all,9.1,倒数第二次恋爱 最後から二番目の恋
https://movie.douban.com/subject/1477916/?from=tag_all,8.9,心理游戏 マインド・ゲーム
https://movie.douban.com/subject/1291838/?from=tag_all,8.4,红猪 紅の豚
https://movie.douban.com/subject/1307897/?from=tag_all,8.8,回忆三部曲 Memories
https://movie.douban.com/subject/4195678/?from=tag_all,9.1,四叠半神话大系 四畳半神話大系
https://movie.douban.com/subject/1296196/?from=tag_all,8.8,乱
https://movie.douban.com/subject/25862356/?from=tag_all,9.0,昨夜的咖喱 明日的面包 昨夜のカレー 明日のパン
https://movie.douban.com/subject/26588970/?from=tag_all,7.4,朝5晚9：帅气和尚爱上我 5→9 ～私に恋したお坊さん～
https://movie.douban.com/subject/5960606/?from=tag_all,8.7,再见我们的幼儿园 さよならぼくたちのようちえん
https://movie.douban.com/subject/6791750/?from=tag_all,7.8,起风了 風立ちぬ
https://movie.douban.com/subject/3399559/?from=tag_all,8.2,南极料理人 南極料理人
https://movie.douban.com/subject/3326764/?from=tag_all,9.0,永生之酒 バッカーノ！
https://movie.douban.com/subject/1850963/?from=tag_all,8.1,花魁 さくらん
https://movie.douban.com/subject/2031438/?from=tag_all,8.3,白夜行
https://movie.douban.com/subject/1915312/?from=tag_all,8.6,龙樱 ドラゴン桜
https://movie.douban.com/subject/1303907/?from=tag_all,8.4,百变狸猫 平成狸合戦ぽんぽこ
https://movie.douban.com/subject/2286642/?from=tag_all,8.8,名侦探柯南：贝克街的亡灵 名探偵コナン ベイカー街の亡霊
https://movie.douban.com/subject/25813424/?from=tag_all,9.3,乒乓 ピンポン THE ANIMATION
https://movie.douban.com/subject/26827706/?from=tag_all,9.0,我的英雄学院 第2季 僕のヒーローアカデミア 第2期
https://movie.douban.com/subject/26271868/?from=tag_all,8.6,约会～恋爱究竟是什么呢～ デート 〜恋とはどんなものかしら〜
https://movie.douban.com/subject/1291566/?from=tag_all,9.0,攻壳机动队2：无罪 攻殻機動隊2 イノセンス
https://movie.douban.com/subject/10460270/?from=tag_all,5.7,JOJO的奇妙冒险：不灭钻石 第一章 ジョジョの奇妙な冒険 ダイヤモンドは砕けない 第一章
https://movie.douban.com/subject/26725184/?from=tag_all,7.9,99.9：刑事专业律师 第一季 99.9 刑事専門弁護士
https://movie.douban.com/subject/1299062/?from=tag_all,8.4,坏孩子的天空 キッズ・リターン
https://movie.douban.com/subject/26666177/?from=tag_all,7.9,杀戮都市：O GANTZ:O
https://movie.douban.com/subject/26663070/?from=tag_all,8.8,家族的形式 家族ノカタチ
https://movie.douban.com/subject/5397537/?from=tag_all,8.7,我们仍未知道那天所看见的花的名字 あの日見た花の名前を僕達はまだ知らない。
https://movie.douban.com/subject/1304970/?from=tag_all,7.9,猫的报恩 猫の恩返し
https://movie.douban.com/subject/26677934/?from=tag_all,9.3,灵能百分百 第一季 モブサイコ100
https://movie.douban.com/subject/26236632/?from=tag_all,9.5,三十二
https://movie.douban.com/subject/1293847/?from=tag_all,9.0,生之欲 生きる
https://movie.douban.com/subject/1892578/?from=tag_all,8.3,海鸥食堂 かもめ食堂
https://movie.douban.com/subject/26615510/?from=tag_all,9.0,3月的狮子 第一季 3月のライオン 第1シーズン
https://movie.douban.com/subject/1848925/?from=tag_all,8.6,恶童 鉄コン筋クリート
https://movie.douban.com/subject/1294433/?from=tag_all,8.7,秋刀鱼之味 秋刀魚の味
https://movie.douban.com/subject/5996409/?from=tag_all,8.7,东京家族 東京家族
https://movie.douban.com/subject/25851655/?from=tag_all,8.8,四月是你的谎言 四月は君の嘘
https://movie.douban.com/subject/21332518/?from=tag_all,8.9,胜者即是正义SP リーガル・ハイSP
https://movie.douban.com/subject/6146955/?from=tag_all,8.7,寿司之神 Jiro Dreams of Sushi
https://movie.douban.com/subject/1463371/?from=tag_all,9.0,名侦探柯南 名探偵コナン
https://movie.douban.com/subject/1441053/?from=tag_all,8.9,妄想代理人 Paranoia Agent
https://movie.douban.com/subject/1303067/?from=tag_all,8.9,影子武士 影武者
https://movie.douban.com/subject/26287884/?from=tag_all,7.4,魔弦传说 Kubo and the Two Strings
https://movie.douban.com/subject/26653375/?from=tag_all,8.7,我的英雄学院 第1季 僕のヒーローアカデミア
https://movie.douban.com/subject/4917705/?from=tag_all,8.7,SPEC SPEC〜警視庁公安部公安第五課 未詳事件特別対策係事件簿〜
https://movie.douban.com/subject/7064681/?from=tag_all,8.5,狼的孩子雨和雪 おおかみこどもの雨と雪
https://movie.douban.com/subject/25953663/?from=tag_all,8.2,无间双龙：这份爱，才是正义 ウロボロス～この愛こそ、正義。
https://movie.douban.com/subject/10553029/?from=tag_all,9.0,真幌站前番外地 まほろ駅前番外地
https://movie.douban.com/subject/26430107/?from=tag_all,8.8,二十二
https://movie.douban.com/subject/1855131/?from=tag_all,8.6,东京塔 東京タワー～オカンとボクと、時々、オトン～
https://movie.douban.com/subject/1427980/?from=tag_all,9.2,怪物 MONSTER
https://movie.douban.com/subject/3011225/?from=tag_all,8.4,最后的朋友 ラスト・フレンズ
https://movie.douban.com/subject/21339675/?from=tag_all,8.3,一吻定情 イタズラなKiss～Love in TOKYO
https://movie.douban.com/subject/26815153/?from=tag_all,8.6,一人之下 第一季
https://movie.douban.com/subject/26761256/?from=tag_all,4.6,钢之炼金术师 鋼の錬金術師
https://movie.douban.com/subject/1457707/?from=tag_all,8.7,猫汤 ねこぢる草
https://movie.douban.com/subject/1292219/?from=tag_all,7.8,关于莉莉周的一切 リリイ·シュシュのすべて
https://movie.douban.com/subject/25760591/?from=tag_all,7.5,失恋巧克力职人 失恋ショコラティエ
https://movie.douban.com/subject/10777710/?from=tag_all,8.8,回我的家 ゴーイング マイ ホーム
https://movie.douban.com/subject/1308892/?from=tag_all,9.4,新世纪福音战士剧场版：Air/真心为你 新世紀エヴァンゲリオン劇場版 Air/まごころを、君に
https://movie.douban.com/subject/26020796/?from=tag_all,8.1,家族之苦 家族はつらいよ
https://movie.douban.com/subject/6389526/?from=tag_all,8.5,尽管如此 也要活下去 それでも、生きてゆく
https://movie.douban.com/subject/1294737/?from=tag_all,8.7,楢山节考 楢山節考
https://movie.douban.com/subject/6796133/?from=tag_all,9.1,深夜食堂2
https://movie.douban.com/subject/26798437/?from=tag_all,8.0,深夜食堂2 続・深夜食堂
https://movie.douban.com/subject/26752720/?from=tag_all,8.8,编舟记 舟を編む
https://movie.douban.com/subject/25769362/?from=tag_all,7.9,哆啦A梦：伴我同行 STAND BY ME ドラえもん
https://movie.douban.com/subject/1292289/?from=tag_all,8.2,心动 心動
https://movie.douban.com/subject/6844861/?from=tag_all,8.7,命运石之门剧场版：负荷领域的既视感 劇場版 STEINS;GATE 負荷領域のデジャヴ
https://movie.douban.com/subject/1431615/?from=tag_all,9.5,攻壳机动队 第一季 攻殻機動隊 STAND ALONE COMPLEX
